,Names,Redshift,SN_RA,SN_DEC,HOST_RA,HOST_DEC,LOGMASS,Color,HR,HR_err
0,SN2016coj,0.0057,182.028,65.1772,182.02431,65.17431,10.769,1.29828202960049,0.0193152048728535,0.4836723388782950
1,2018gv,0.00602,121.394,-11.4379,121.4085,-11.42703,10.094,1.29547299301152,-0.0270130582511001,0.3502710813584250
2,2019np,0.00648,157.342,29.5106,157.33308,29.49183,10.231,1.04893302735181,0.275646582644804,0.3223039227949300
3,2017erp,0.00677,227.312,-11.3342,227.31704,-11.32167,10.166,1.29547299301152,-0.106492737808495,0.37115913051412300
4,ASASSN-15so,0.00857,168.546,48.3187,168.545385,48.318615,10.632,1.04893302735181,0.0074276226594918,0.26758717046226300
5,PSNJ0717457,0.00861,109.44,23.3446,109.420754,23.356744,10.018,0.981810110357984,0.0183767545310687,0.3834654030822080
6,ASASSN-16jf,0.01096,339.247,-25.232,339.262513,-25.236411,9.312,0.374507650620558,0.326815597075978,0.314883208831465
7,AT2017cfd,0.01304,130.204,73.4875,130.210241,73.486765,10.227,1.29547299301152,-0.12927052115564,0.29257038336954100
8,ASASSN-16la,0.01424,37.3226,18.0879,37.321667,18.087806,8.956,0.573500381316904,0.0441390362399545,0.26549604242624800
9,PSNJ2043531,0.01492,310.972,12.5085,310.97379,12.51192,10.722,1.13861633543709,0.310453624435269,0.3727592113362190
10,SN2017jl,0.01525,14.3829,30.1852,14.381299,30.185952,9.061,1.29828202960049,-0.196280649067987,0.3021972275253370
11,ASASSN-16ad,0.01529,24.8836,33.8268,24.879896,33.824406,9.146,1.06232334554987,0.0656670182486465,0.3443110948328560
12,ATLAS16cxr,0.01542,272.027,25.4088,272.02692,25.40884,8.19,0.703912042339724,0.377674200304348,0.3728998582474930
13,iPTF16auf,0.01543,217.788,27.236,217.787446,27.237292,9.299,0.256955208697107,0.11075041129736,0.31487607848803000
14,ASASSN-15oh,0.01587,337.675,39.2932,337.671253,39.291867,10.418,1.01131023322822,0.257590447085725,0.27034352239326900
15,SN2016gfr,0.01671,274.898,23.7862,274.898621,23.787149,9.865,1.45153684145309,-0.282151710403241,0.24538598826338900
16,ASASSN-16ip,0.01678,36.8407,-23.9287,36.840871,-23.92876,9.997,1.30610388029974,-0.0298178798030122,0.24648342756461300
17,PSNJ0107203,0.01682,16.8346,32.3997,16.853995,32.412559,11.335,1.29884071920807,-0.21717535865384,0.2844102659469240
18,ASASSN-15ti,0.01692,46.2858,37.9,46.29421,37.9,8.748,0.958017056806184,0.2840928808575,0.31032129002696500
19,ASASSN-15od,0.01698,35.8049,-4.5172,35.80518,-4.516944,9.706,0.727523979117365,0.155010301818038,0.2283953507079340
20,ASASSN-15kx,0.0172,334.049,37.4738,334.049529,37.474586,10.207,1.18245812447543,0.369304779893945,0.21981679303456300
21,ASASSN-17co,0.01826,272.336,18.2983,272.335765,18.297777,10.797,1.89588940798309,-0.262949856438411,0.2805752996184800
22,PS15coh,0.01839,33.9935,12.2372,33.993504,12.237269,8.376,0.948437683487128,0.0437379165064797,0.22690335722725700
23,ATLAS16cpu,0.01865,227.956,46.251,227.9516,46.25386,10.113,1.31997891428051,0.0777376470586191,0.23999173559937400
24,ASASSN-16cs,0.01905,102.653,31.1124,102.653578,31.116816,9.494,1.23650220828945,-0.0186809035812701,0.28141437753071500
25,2016W,0.01995,37.6655,42.236,37.660433,42.232266,11.204,1.89588940798309,-0.18885413874856,0.2957403592680580
26,ATLAS16dqf,0.02034,317.283,-18.1039,317.28084,-18.10218,8.782,1.37829626153237,0.0362849786544501,0.37584341447070700
27,ASASSN-15lg,0.02044,198.887,3.5007,198.886308,3.500772,9.934,1.25445119822828,0.0490721088991322,0.21459368349511100
28,PSNJ1602512,0.02052,240.714,47.2248,240.708293,47.224515,10.879,1.91763729295505,-0.0186333870673536,0.3339168999916000
29,ASASSN-17bs,0.02056,268.026,21.566,268.024537,21.569135,10.419,1.23650220828945,-0.151325774069328,0.249507197491375
30,AT2016eoa,0.02106,5.3461,22.4354,5.343377,22.4336,11.014,0.590915765113181,-0.0831969539686241,0.23068967554704300
31,ASASSN-16lg,0.02116,267.051,17.6256,267.051157,17.625255,10.612,0.967350640709086,-0.364342344346731,0.20308878303835500
32,SN2016ajf,0.02134,49.9771,41.565,49.975526,41.563465,11.449,1.76852459254513,-0.0675220768804437,0.34147353720164000
33,ASASSN-15uv,0.02153,126.784,27.8116,126.784087,27.810466,9.835,1.25445119822828,-0.0184719282333887,0.39360973160733700
34,ATLAS16dpb,0.02215,44.3919,5.9782,44.390287,5.976963,10.903,1.72448197903495,0.155295419523455,0.288659345866369
35,ASASSN-17aj,0.02255,173.294,-10.2218,173.294083,-10.228816,10.259,0.792315110739793,-0.108403107370769,0.24314383200895700
36,AT2017cfb,0.02266,208.528,9.4128,208.536556,9.412739,9.546,0.829689239677833,0.0025556894759617,0.22054921569572600
37,ASASSN-15il,0.02295,239.284,-12.6733,239.283804,-12.673672,9.962,1.08759881875348,0.0091164627730151,0.20127171311438700
38,PS15cku,0.02325,21.0939,3.5876,21.093329,3.588014,9.455,0.773090157856927,0.144205468779042,0.22970453217122200
39,ASASSN-15nr,0.02344,261.674,13.9098,261.672978,13.909741,10.107,0.629549668412935,-0.0835686275170957,0.26377810414247800
40,ATLAS17bas,0.02357,166.898,22.8514,166.899002,22.852325,10.03,0.612118411831929,-0.355542132061366,0.26174720972915800
41,ASASSN-15tz,0.02365,40.287,43.6802,40.288913,43.682697,10.424,1.22983719902818,-0.0866688724039761,0.2740466428110370
42,ASASSN-15jt,0.0239,197.038,27.8264,197.03794,27.82661,10.369,1.65467638141264,-0.0419983349805406,0.4043515807425510
43,ASASSN-16em,0.0239,203.057,84.6783,203.055167,84.678528,8.822,1.18245812447543,0.0493016650194562,0.2773904042248040
44,AT2016bln,0.02429,203.689,13.8539,203.73292,13.8325,10.979,1.08436919527335,0.0028366261960002,0.19541780543491900
45,ASASSN-15sf,0.02432,2.865,-6.4273,2.86433,-6.43041,9.125,0.493079437589913,0.227508902971685,0.23520697800022900
46,ASASSN-16hz,0.02466,348.94,-1.3396,348.940188,-1.337094,10.194,1.16789926505538,-0.191376157595883,0.31760993516576300
47,AT2017cfc,0.02512,208.163,-2.0022,208.165879,-1.997546,10.526,1.01131023322822,-0.111035812110799,0.19020080437264200
48,ASASSN-16bq,0.02534,212.86,1.286,212.859299,1.28652,10.789,1.43515894276219,0.0570818683018359,0.17670099002552300
49,PS15ahs,0.02534,269.874,43.3901,269.87396,43.39192,9.77,0.640264290480033,0.11808186830153,0.18593947713167300
50,PSNJ0153424,0.02556,28.4267,29.9363,28.425992,29.933299,10.713,1.12702766643196,-0.0200366539895143,0.23372690388571000
51,SN2017hn,0.02557,196.914,6.3376,196.914157,6.335999,10.573,1.03118474277572,-0.114301831585998,0.19018001735461100
52,SN2017ms,0.02591,156.676,36.6805,156.674963,36.681448,9.038,1.14696154032244,0.0107781979008763,0.20018271454099100
53,PSNJ2352371,0.02596,358.155,14.5525,358.1517,14.551439,10.829,1.15818751391627,0.193012941466542,0.20049285497493400
54,SN2017mf,0.02598,214.129,39.5864,214.13248,39.589132,10.539,0.543400964625818,0.104709097789545,0.17873295454672000
55,ASASSN-15uu,0.02632,25.9859,17.0626,25.985723,17.062056,9.97,0.543053260054847,-0.0785030869578947,0.3723797872548940
56,ASASSN-15mf,0.02695,213.595,2.9755,213.59584,2.97544,10.462,0.868374026515127,-0.170018087339514,0.1813689750315640
57,ASASSN-17at,0.02713,174.64,25.3971,174.640408,25.398094,10.396,1.25445119822828,-0.0518567093374216,0.18676000857785400
58,ASASSN-15fa,0.02741,257.442,62.9743,257.433646,62.973035,11.043,1.16789926505538,0.162306232430709,0.22533864819200500
59,ASASSN-16av,0.02773,177.868,22.0261,177.867624,22.025975,11.191,1.67059984213705,-0.0698015392511948,0.2898820764121160
60,PSNJ0252467,0.02816,43.1946,46.9464,43.18515,46.938107,10.977,1.36604329197144,0.0515082216903835,0.19063041319789500
61,AT2017ns,0.02849,42.2932,14.6008,42.292366,14.600972,10.118,1.08759881875348,-0.186809501892071,0.367046238069538
