SN,RA,DEC,zHD,Host,RA_host,DEC_host,ML,sigma_ML,age,sigma_age,metallicity,sigma_metallicity,mass,sigma_mass,HA_HB,Halpha_EW,sigma_Halpha_EW,Hbeta_EW,sigma_Hbeta_EW,Hgamma_EW,sigma_Hgamma_EW,OI_EW,sigma_OI_EW,OII_EW,sigma_OII_EW,OIII_EW,sigma_OIII_EW,SII_EW,sigma_SII_EW,NeIII_EW,sigma_NeIII_EW,HeI_EW,sigma_HeI_EW,NII_EW,sigma_NII_EW,W1_W2,W1_W2err,W2_W3,W2_W3err,W1_W3,W1_W3err,W3_W4,W3_W4err,LogL_w3,eLogL_w3,LogL_w4,eLogL_w4,LogSmass,esmass,Lw3Den,Lw4Den,LSFRmirc,eSFRmirc,SSFRmircor,eSSFRmircor,c,cERR,x1,x1ERR,mu_res_x1,mu_res_x1_c,mu_res_full,mu_err_x1,mu_err_x1_c,mu_err_full,mu_res_OIIcorr,sigma_mu_res_OIIcorr,mu_res_OIImasscorr,sigma_mu_res_OIImasscorr
SN2016coj,12:08:06.72,65:10:37.92,0.0057,NGC4125,12:08:05.88,65:10:27.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006916,0.034309,-1.47692,0.085215,0.0009447648728873,0.0223152048728856,0.0435152048728859,0.4809322446197592,0.4821544683978361,0.4821586164282455,,,,
2018gv,8:05:34.56,-11:26:16.44,0.00602,NGC2525,8:05:38.04,-11:25:37.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112311,0.031402,0.12088,0.053583,-0.3710542964028924,-0.0240133064028924,-0.0639133064028918,0.3467185383448656,0.3481376601805671,0.348160638837879,,,,
2019np,10:29:22.08,29:30:38.16,0.00648,NGC3254,10:29:19.94,29:29:30.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025372,0.029598,0.11384,0.074387,0.2002471026447665,0.2786465826447681,0.2990465826447703,0.3186342370885464,0.3200059665834373,0.3200200285122792,,,,
2017erp,15:09:14.88,-11:20:03.12,0.00677,NGC5861,15:09:16.09,-11:19:18.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.071172,0.039678,0.47218,0.19972,0.1164287420060787,-0.1034927379939176,-0.0573927379939149,0.3669833190759493,0.3691220667529916,0.3691559293361005,,,,
ASASSN-15so,11:14:11.04,48:19:07.32,0.00857,NGC3583,11:14:10.89,48:19:07.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.055198,0.032438,-0.714413,0.078954,-0.1601341973406462,0.0104276226593569,0.0075276226593601,0.2628396278189421,0.2648337097047881,0.2648412615058311,,,,
PSNJ0717457,7:17:45.60,23:20:40.56,0.00861,NGC2357,7:17:40.98,23:21:24.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.035,3.19,0.043,3.32,0.043,1.685,0.054,9.1211,0.0144,8.9485,0.0168,10.261,0.082,6.502,6.33,0.1017,0.1052,-10.16,0.133,0.028562,0.034936,-0.210958,0.19984,0.106207781336387,0.0179512013363876,-0.0330487986636143,0.3798910255125804,0.3814940567833266,0.381526821286525,,,,
ASASSN-16jf,22:36:59.28,-25:13:55.20,0.01096,UGCA430,22:37:03.00,-25:14:11.08,0.365747293,0.0484416613267634,8.634328067,0.1033723096681123,-0.231909119,0.0112428323906814,9.117,0.013,3.287517538,16.09502477,0.86837359,7.4487856,1.72512318,7.2782287,6.7158713400000005,8.73300107,30.192646980000003,14.4900256,2.49101211,7.40401919,1.87624743,9.61661695,2.9563406,5.8414209900000005,1.79777669,0.005052979229497,0.168696045849525,10.61930449,2.92823956,-0.06,0.073,2.967,0.152,2.907,0.138,-0.781,99.0,8.0733,0.0553,6.774,99.0,9.527,0.088,5.433,0.0,-0.2634,0.1469,-9.791,0.171,-0.031719,0.042517,-1.97973,0.15325,0.2258038870760117,0.3238155970760132,0.2877155970760157,0.3096025515317985,0.3125082962162764,0.3125338944882618,0.2091950372226285,0.3325239343154444,0.1133322393089148,0.3312375878839546
AT2017cfd,8:40:48.96,73:29:15.00,0.01304,IC0511,8:40:50.46,73:29:12.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050626,0.034477,-0.52942,0.093523,0.0301638188442012,-0.1262705211557957,-0.0886705211557981,0.2879978571031389,0.2900541832571977,0.2900610784386626,,,,
ASASSN-16dn,10:48:49.44,-20:15:50.04,0.01411,GAJ104848.62-201544.1,10:48:48.74,-20:15:47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.116,1.546,99.0,2.14,99.0,3.154,99.0,6.8152,99.0,7.3233,99.0,8.34,0.141,0.0,0.0,0.0,99.0,0.0,0.0,-0.093154,0.031125,0.47579,0.075765,-0.2558831987426089,0.0319626612573884,-0.0162373387426129,0.245980843626084,0.2479422131384649,0.247950279402948,,,,
ASASSN-16la,2:29:17.42,18:05:16.44,0.01424,2MiJ0229172+180515,2:29:17.20,18:05:16.10,0.496046083,0.0290193824965717,8.997039123,0.0382100763453778,-0.311643367,0.0736284765341742,9.038,0.001,3.634182397,16.66396236,0.17269594,3.59215328,0.21242809,2.17713931,0.23206838,0.34994518,0.15299316,19.91259144,1.86615117,2.91200341,0.17473988,2.75966821,0.12212922,5.36e-09,-0.04777473,0.21670656,0.09973646,2.99239305,0.18384298,-0.04,0.045,3.526,0.109,3.486,0.108,1.912,0.365,7.8724,0.0425,7.7894,0.1432,9.054,0.084,5.816,5.733,-0.6735,0.1186,-9.728,0.145,-0.102335,0.04358,0.83157,0.13455,-0.2750761137597948,0.0411390362402031,-0.012560963759796,0.2590809374384769,0.2627206663816153,0.2627282789194951,-0.1515664717091816,0.2979270130582218,-0.2829237368948969,0.2944620592904379
