VARNAMES:,CID,CIDint,IDSURVEY,TYPE,FIELD,CUTFLAG_SNANA,ERRFLAG_FIT,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_NMATCH,HOST_NMATCH2,HOST_OBJID,HOST_ZPHOT,HOST_ZPHOTERR,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_CONFUSION,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_SBFLUXCAL_g,HOST_SBFLUXCAL_r,HOST_SBFLUXCAL_i,HOST_SBFLUXCAL_z,HOST_SBMAG_g,HOST_SBMAG_r,HOST_SBMAG_i,HOST_SBMAG_z,PKMJDINI,SNRMAX1,SNRMAX2,SNRMAX3,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITCHI2,FITPROB,RA,DEC,HOST_ANGSEP_2,TGAPMAX,TrestMIN,TrestMAX,FLUXCALMAX_g,SNRMAX_g,FLUXCALMAX_r,SNRMAX_r,FLUXCALMAX_i,SNRMAX_i,FLUXCALMAX_z,SNRMAX_z,HOSTGAL_LOGMASS,HOSTGAL_LOGMASS_ERR,HOST_LOGSFR,HOST_LOGSFR_ERR,HOST_LOGsSFR,HOST_COLOR,HOST_LOGsSFR_ERR,HOST_COLOR_ERR,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,PROB_UNITY,CUTMASK,MU,MUMODEL,MUERR,MUERR_RENORM,MUERR_RAW,MUERR_VPEC,MURES,MUPULL,M0DIF,M0DIFERR,CHI2,biasCor_nevt,biasCor_mu,biasCorErr_mu,biasCor_mB,biasCor_x1,biasCor_c,biasCor_muCOVSCALE,IDSAMPLE,IZBIN,mu,delta_mu,LOG_OII,LOG_OII_ERR,SPECZ
SN:,1562098,1562098,10,0,X2,3,0,0.57747,0.001,0.57618,0.001,0.57618,0.00187,0,300,0.0213553,1,1,107015,-9,-9,0.5775,0.001,34.776081,-6.165199,0.673,1.094,-9.0,9.386,0.033,4.92,10.0,15.37,14.79,25.77009,25.0,24.53332,24.57508,57722.0742,20.18991,13.25445,8.77691,57720.7109,0.6056,0.5877,0.46066,-0.13348,0.0437646,22.95054,0.0357553,1.18518e-05,3.90302e-07,0.00189269,-1.09984e-07,-6.22244e-09,40,29.21735,0.89589,34.7761,-6.1654,0.673,7.0128,-12.4507,43.3274,39.603,-999.0,102.85,20.1899,82.243,13.2544,80.76,8.7769,9.38,0.078,1.182,1.111,-8.198,0.295,1.11373,-999,0.9996,0.9707,1.0,0.9997,1.0,1,0,42.83458,42.62151,0.18165,0.1717,0.1426,0.0046,0.2376,1.308,-0.0245,0.0127,1.71,0,-0.0512,0.0,0.0,0.0,0.0,1.0,2,14,42.8346124594,0.23949114296280527,2.74437368424042,0.2829092664746238,0.5774700045585632
SN:,1702083,1702083,10,0,C2,3,0,0.38932,0.001,0.38884,0.001,0.38884,0.00171,0,300,0.0112811,1,1,117218,-9,-9,0.3893,0.001,55.035934,-29.200302,0.57,0.765,-9.0,9.528,0.02,13.99,35.15,41.5,49.62,24.63546,23.63519,23.45488,23.26086,57778.125,35.69062,24.498,13.22785,57778.5469,0.4075,0.40302,0.45227,-0.119071,0.0372978,21.93424,0.0371425,3.02208e-05,1.03384e-06,0.00429075,-2.31747e-07,-3.07637e-08,14,21.76795,0.0835097,55.036098,-29.2003,0.57,6.5398,-12.5877,15.5174,118.75,-999.0,194.24001,35.6906,176.2,24.498,130.97,13.2278,9.501,0.0,1.303,0.105,-8.198,0.318,0.105,-999,0.9991,0.7475,1.0,1.0,1.0,1,0,41.70344,41.6038,0.15142,0.1496,0.1012,0.0065,0.1041,0.688,-0.0045,0.0142,0.47,0,-0.005,0.0,0.0,0.0,0.0,1.0,4,11,41.70345911003,0.104988429227717,1.6871798181685085,0.0478051513946697,0.3893199861049652
SN:,1309227,1309227,10,0,C3,3,0,0.92649,0.001,0.92576,0.001,0.92576,0.00217,0,300,0.0068901,1,2,27315,-9,-9,0.9265,0.001,53.180927,-28.452267,0.442,0.593,-3.55111,10.254,0.077,4.08,7.54,16.11,23.35,25.97335,25.30657,24.48226,24.07928,56980.2578,11.87765,10.70005,-99.0,56973.4023,1.0543,0.19173,0.67659,-0.0849791,0.12291,24.60129,0.0579573,2.59111e-06,1.38315e-07,0.0132634,-6.37173e-08,-1.78952e-09,29,28.75747,0.47775,53.180801,-28.4522,0.442,4.7346,-12.4842,41.3398,5.142,-999.0,11.639,-999.0,22.575,11.8777,25.517,10.7001,10.279,0.335,0.656,0.182,-9.623,0.531,0.38125,-999,0.8972,0.9557,0.9761,0.9986,0.938,1,0,44.2862,43.87599,0.36792,0.3687,0.3503,0.0031,0.3922,1.066,0.018,0.0592,1.14,0,-0.0472,0.0,0.0,0.0,0.0,1.0,1,18,44.286161891602994,0.39317318278168045,1.1428556659263784,0.055644071480396,0.9264900088310242
SN:,1311632,1311632,10,0,X1,3,0,0.42538,0.001,0.4242,0.001,0.4242,0.00174,0,300,0.0178726,2,5,35338,-9,-9,0.4254,0.001,34.68988,-5.072289,0.175,0.214,-4.0667,10.379,0.06,5.53,28.08,49.09,69.55,25.64319,23.87901,23.27252,22.89426,56986.1758,21.23442,17.16926,9.06572,56990.2266,0.4098,-0.813994,0.44936,0.0920689,0.0497441,22.59494,0.0607289,1.64446e-05,9.19803e-07,0.00560492,-2.46209e-07,-3.68338e-08,38,33.12864,0.694,34.689899,-5.0723,0.175,7.7008,-12.0582,42.6778,73.606,-999.0,131.35001,21.2344,176.49001,17.1693,113.31,9.0657,10.424,0.23,-0.163,9.837,-10.587,1.45,9.83969,-999,0.9968,0.9244,1.0,0.9999,1.0,1,0,41.60394,41.82746,0.16569,0.154,0.1216,0.006,-0.2379,-1.436,0.0144,0.013,2.06,0,-0.014,0.0,0.0,0.0,0.0,1.0,2,12,41.603980330042994,-0.23599554297383918,1.1769215847842476,0.0857839049940856,0.425379991531372
SN:,1314162,1314162,10,0,X3,3,0,0.58267,0.001,0.58141,0.001,0.58141,0.00187,0,300,0.023095,1,2,37928,-9,-9,0.5827,0.001,36.859703,-4.183278,1.222,1.145,-2.86436,11.001,0.014,14.1,50.65,62.49,94.4,24.62695,23.23855,23.01047,22.56257,57001.0586,34.4495,22.9022,13.22579,57003.8047,0.5135,0.0685456,0.3632,-0.00250884,0.0389901,23.23619,0.032901,9.11009e-06,2.76063e-07,0.00260362,-6.31574e-08,-5.21547e-09,26,18.02634,0.87481,36.859501,-4.183,1.222,6.9059,-14.9841,30.4815,11.726,-999.0,64.287,34.4495,64.134,22.9022,60.694,13.2258,10.99,0.085,1.031,0.012,-9.959,0.734,0.0858429,-999,0.9993,0.979,0.9999,0.9998,0.9998,1,0,42.64043,42.64513,0.16169,0.1528,0.1161,0.0046,0.0198,0.123,-0.0245,0.0127,0.02,0,-0.011,0.0,0.0,0.0,0.0,1.0,0,14,42.640430732525196,0.021642419705095506,1.2188034425456644,0.1043115681900551,0.5826699733734131
SN:,1833468,1833468,10,0,X3,3,0,0.78516,0.001,0.78375,0.001,0.78375,0.00205,0,300,0.0243147,1,1,-26536,-9,-9,0.7852,0.001,36.868919,-4.970709,0.47,0.481,-9.0,11.284,0.003,5.04,30.37,98.79,150.47,25.74392,23.79389,22.51322,22.05638,58015.2656,12.19355,8.82156,-99.0,58016.5312,1.1622,-0.28011,0.69291,-0.196179,0.14012,23.94354,0.0722214,4.74878e-06,3.15881e-07,-0.00591645,-9.77223e-08,-2.4249e-08,30,17.87358,0.96055,36.868999,-4.9708,0.47,4.4004,-14.6586,42.9277,11.162,-999.0,-9.0,-999.0,39.452,12.1935,33.425,8.8216,11.259,0.045,-0.775,0.909,-12.034,1.383,0.91011,-999,0.5802,0.7608,1.0,0.9976,0.9998,1,0,43.80619,43.43342,0.39976,0.3858,0.3836,0.0036,0.4253,1.064,-0.0525,0.0242,1.13,0,0.0032,0.0,0.0,0.0,0.0,1.0,0,17,43.80614279977001,0.4270925708947857,0.496165625810319,0.2769799153705412,0.7851600050926208
SN:,1338718,1338718,10,0,S1,3,0,0.73429,0.001,0.73306,0.001,0.73306,0.002,0,300,0.0521359,1,1,42954,-9,-9,0.7343,0.001,42.673149,-0.319838,0.07,0.093,-9.0,10.785,0.076,2.21,11.51,33.9,58.18,26.63902,24.84731,23.6745,23.08807,57365.1289,13.46259,12.01404,8.55609,57364.8047,1.4973,0.58435,0.98536,-0.121227,0.0768367,23.60927,0.0584873,6.46087e-06,3.48039e-07,0.0253556,-1.6577e-07,-3.29682e-10,16,13.19021,0.6588,42.673199,-0.3199,0.07,9.2122,-14.7845,24.9404,9.102,-999.0,41.158,13.4626,46.807,12.014,47.546,8.5561,10.777,0.062,-1.69,8.31,-12.467,1.546,8.31023,-999,0.9954,0.9938,0.9998,0.9938,0.9975,1,0,43.52012,43.25584,0.26964,0.257,0.2451,0.0038,0.2617,0.971,0.0025,0.0159,0.94,0,-0.1119,0.0,0.0,0.0,0.0,1.0,3,16,43.520103987409996,0.2634481790852874,0.8613653652351374,0.2450329936613773,0.7342900037765503
SN:,1279488,1279488,10,0,X3,3,0,0.49532,0.001,0.49412,0.001,0.49412,0.0018,0,300,0.0234472,1,1,18358,-9,-9,0.4953,0.001,36.254013,-4.734176,1.064,1.136,-9.0,9.277,0.07,2.65,8.18,10.69,13.69,26.44188,25.21812,24.92756,24.65899,57265.3906,33.18779,31.86905,17.36707,57259.9336,0.402,0.15909,0.33541,0.12508,0.0318605,23.22968,0.0360809,9.1649e-06,3.04566e-07,0.00025645,-5.06795e-08,-6.77451e-09,32,38.51876,0.19838,36.253899,-4.7339,1.064,5.3944,-7.1107,44.9737,98.53,-999.0,63.181,33.1878,68.838,31.869,62.523,17.3671,9.219,0.126,0.786,0.947,-8.433,0.327,0.95535,-999,0.9525,0.8655,0.999,0.9883,0.9904,1,0,42.30042,42.22103,0.14968,0.1282,0.0987,0.0053,0.0738,0.493,0.0056,0.0126,0.24,0,-0.0109,0.0,0.0,0.0,0.0,1.0,0,13,42.300370726299995,0.07557857828447112,1.3675766077493234,0.0572240801693242,0.4953199923038482
SN:,1331719,1331719,10,0,E2,3,0,0.5874,0.001,0.58627,0.001,0.58627,0.00188,0,300,0.00816257,1,1,40621,-9,-9,0.5874,0.001,8.706661,-44.577782,0.292,0.399,-9.0,10.562,0.028,13.24,41.48,71.61,99.43,24.69528,23.4554,22.86257,22.50621,57325.0156,7.6481,7.30471,5.73199,57315.6094,1.1248,-0.939964,0.73972,0.0379393,0.0906108,23.31981,0.0906899,8.43482e-06,7.04548e-07,0.0164909,-3.3742e-07,-3.37194e-08,39,34.37614,0.68063,8.7067,-44.577702,0.292,7.5915,-11.6937,43.7749,20.379,-999.0,57.075,7.6481,68.195,7.3047,71.974,5.732,10.58,0.126,0.645,0.185,-9.935,0.822,0.22383,-999,0.8665,0.9943,0.9939,0.9991,0.9997,1,0,42.47768,42.66676,0.26951,0.2547,0.2449,0.0045,-0.1645,-0.611,-0.0245,0.0127,0.37,0,-0.0353,0.0,0.0,0.0,0.0,1.0,4,14,42.477692473311,-0.1629092795658451,1.267295951233153,0.0510825597390242,0.5874000191688538
SN:,1306378,1306378,10,0,S1,3,0,0.36195,0.001,0.36101,0.001,0.36101,0.00169,0,300,0.0617282,1,1,10286,-9,-9,0.362,0.001,43.7551,-0.032378,0.297,0.31,-9.0,10.464,0.013,33.97,102.46,152.78999,215.78,23.67226,22.47361,22.03976,21.66497,57299.2109,16.17231,15.22324,11.56654,57286.4531,0.7562,2.25873,0.51978,0.19866,0.0354977,22.5076,0.0479133,1.78221e-05,7.86487e-07,0.00402687,-2.35611e-07,-1.79126e-08,52,48.36505,0.61764,43.7551,-0.0325,0.297,7.2392,-7.394,43.1682,59.609,11.5665,103.86,16.1723,123.89,15.2232,96.652,9.8911,10.447,0.025,1.294,0.125,-9.153,0.752,0.12748,-999,0.9775,0.2736,0.9998,0.9752,0.9975,1,0,41.70377,41.41576,0.16339,0.1615,0.1184,0.0069,0.2925,1.79,-0.0045,0.0142,3.2,0,-0.0031,0.0,0.0,0.0,0.0,1.0,3,11,41.7037931141,0.2940989032127206,1.101910253681234,0.0863375906653997,0.361950010061264
